Judul,Link,judul_lower_case,remove_html,remove_special_characters,remove_escape_characters,cleaned_space,tokenisasi,remove_stopword_english,remove_stopword_indonesia,data_post_cleaned
Cawagub Emil Jelaskan Cara Gen Z Ponorogo Dapat Kerja Pakai Portofolio,https://www.detik.com/jatim/pilkada/d-7627751/cawagub-emil-jelaskan-cara-gen-z-ponorogo-dapat-kerja-pakai-portofolio,cawagub emil jelaskan cara gen z ponorogo dapat kerja pakai portofolio,cawagub emil jelaskan cara gen z ponorogo dapat kerja pakai portofolio,cawagub emil jelaskan cara gen z ponorogo dapat kerja pakai portofolio,cawagub emil jelaskan cara gen z ponorogo dapat kerja pakai portofolio,cawagub emil jelaskan cara gen z ponorogo dapat kerja pakai portofolio,"['cawagub', 'emil', 'jelaskan', 'cara', 'gen', 'z', 'ponorogo', 'dapat', 'kerja', 'pakai', 'portofolio']","['cawagub', 'emil', 'jelaskan', 'cara', 'gen', 'z', 'ponorogo', 'dapat', 'kerja', 'pakai', 'portofolio']","['cawagub', 'emil', 'gen', 'z', 'ponorogo', 'kerja', 'pakai', 'portofolio']","['cawagub', 'emil', 'gen', 'z', 'ponorogo', 'kerja', 'pakai', 'portofolio']"
"Terungkap Gen Z Stres Saat Terima Email Pekerjaan, Ini Alasannya",https://wolipop.detik.com/worklife/d-7321751/terungkap-gen-z-stres-saat-terima-email-pekerjaan-ini-alasannya,"terungkap gen z stres saat terima email pekerjaan, ini alasannya","terungkap gen z stres saat terima email pekerjaan, ini alasannya",terungkap gen z stres saat terima email pekerjaan ini alasannya,terungkap gen z stres saat terima email pekerjaan ini alasannya,terungkap gen z stres saat terima email pekerjaan ini alasannya,"['terungkap', 'gen', 'z', 'stres', 'saat', 'terima', 'email', 'pekerjaan', 'ini', 'alasannya']","['terungkap', 'gen', 'z', 'stres', 'saat', 'terima', 'email', 'pekerjaan', 'ini', 'alasannya']","['terungkap', 'gen', 'z', 'stres', 'terima', 'email', 'pekerjaan', 'alasannya']","['terungkap', 'gen', 'z', 'stres', 'terima', 'email', 'pekerjaan', 'alasannya']"
Video: RK Akan Kolaborasi dengan Pemerintah Pusat Bangun Rumah Ramah Gen Z,https://20.detik.com/detikupdate/20241013-241013079/video-rk-akan-kolaborasi-dengan-pemerintah-pusat-bangun-rumah-ramah-gen-z,video: rk akan kolaborasi dengan pemerintah pusat bangun rumah ramah gen z,video: rk akan kolaborasi dengan pemerintah pusat bangun rumah ramah gen z,video rk akan kolaborasi dengan pemerintah pusat bangun rumah ramah gen z,video rk akan kolaborasi dengan pemerintah pusat bangun rumah ramah gen z,video rk akan kolaborasi dengan pemerintah pusat bangun rumah ramah gen z,"['video', 'rk', 'akan', 'kolaborasi', 'dengan', 'pemerintah', 'pusat', 'bangun', 'rumah', 'ramah', 'gen', 'z']","['video', 'rk', 'akan', 'kolaborasi', 'dengan', 'pemerintah', 'pusat', 'bangun', 'rumah', 'ramah', 'gen', 'z']","['video', 'rk', 'kolaborasi', 'pemerintah', 'pusat', 'bangun', 'rumah', 'ramah', 'gen', 'z']","['video', 'rk', 'kolaborasi', 'pemerintah', 'pusat', 'bangun', 'rumah', 'ramah', 'gen', 'z']"
"Banyak Gen Z Senang Makan Sendirian, Ini Manfaatnya yang Tak Terduga",https://wolipop.detik.com/health-and-diet/d-7565413/banyak-gen-z-senang-makan-sendirian-ini-manfaatnya-yang-tak-terduga,"banyak gen z senang makan sendirian, ini manfaatnya yang tak terduga","banyak gen z senang makan sendirian, ini manfaatnya yang tak terduga",banyak gen z senang makan sendirian ini manfaatnya yang tak terduga,banyak gen z senang makan sendirian ini manfaatnya yang tak terduga,banyak gen z senang makan sendirian ini manfaatnya yang tak terduga,"['banyak', 'gen', 'z', 'senang', 'makan', 'sendirian', 'ini', 'manfaatnya', 'yang', 'tak', 'terduga']","['banyak', 'gen', 'z', 'senang', 'makan', 'sendirian', 'ini', 'manfaatnya', 'yang', 'tak', 'terduga']","['gen', 'z', 'senang', 'makan', 'manfaatnya', 'terduga']","['gen', 'z', 'senang', 'ma', 'manfaatnya', 'terduga']"
"Gen Z Dominasi Kaum Nganggur di RI, Segini Rentang Usianya",https://finance.detik.com/berita-ekonomi-bisnis/d-7354094/gen-z-dominasi-kaum-nganggur-di-ri-segini-rentang-usianya,"gen z dominasi kaum nganggur di ri, segini rentang usianya","gen z dominasi kaum nganggur di ri, segini rentang usianya",gen z dominasi kaum nganggur di ri segini rentang usianya,gen z dominasi kaum nganggur di ri segini rentang usianya,gen z dominasi kaum nganggur di ri segini rentang usianya,"['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'di', 'ri', 'segini', 'rentang', 'usianya']","['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'di', 'ri', 'segini', 'rentang', 'usianya']","['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'ri', 'segini', 'rentang', 'usianya']","['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'ri', 'segini', 'rentang', 'usianya']"
Gen Z Kini Lebih Suka Cari Informasi di Media Sosial daripada 'Googling',https://inet.detik.com/detiktv/d-7541609/gen-z-kini-lebih-suka-cari-informasi-di-media-sosial-daripada-googling,gen z kini lebih suka cari informasi di media sosial daripada 'googling',gen z kini lebih suka cari informasi di media sosial daripada 'googling',gen z kini lebih suka cari informasi di media sosial daripada googling,gen z kini lebih suka cari informasi di media sosial daripada googling,gen z kini lebih suka cari informasi di media sosial daripada googling,"['gen', 'z', 'kini', 'lebih', 'suka', 'cari', 'informasi', 'di', 'media', 'sosial', 'daripada', 'googling']","['gen', 'z', 'kini', 'lebih', 'suka', 'cari', 'informasi', 'di', 'media', 'sosial', 'daripada', 'googling']","['gen', 'z', 'suka', 'cari', 'informasi', 'media', 'sosial', 'googling']","['gen', 'z', 'suka', 'cari', 'informasi', 'dia', 'sosial', 'googling']"
Aksi Protes Warga Kenya Tolak Kenaikan Pajak,https://finance.detik.com/foto-bisnis/d-7401340/aksi-protes-warga-kenya-tolak-kenaikan-pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,"['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenaikan', 'pajak']","['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenaikan', 'pajak']","['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenaikan', 'pajak']","['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenai', 'pajak']"
"Viral CEO 'Roasting' Tren Surat Lamaran Kerja Gen Z, Jangan Seperti Ini",https://wolipop.detik.com/worklife/d-7611063/viral-ceo-roasting-tren-surat-lamaran-kerja-gen-z-jangan-seperti-ini,"viral ceo 'roasting' tren surat lamaran kerja gen z, jangan seperti ini","viral ceo 'roasting' tren surat lamaran kerja gen z, jangan seperti ini",viral ceo roasting tren surat lamaran kerja gen z jangan seperti ini,viral ceo roasting tren surat lamaran kerja gen z jangan seperti ini,viral ceo roasting tren surat lamaran kerja gen z jangan seperti ini,"['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z', 'jangan', 'seperti', 'ini']","['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z', 'jangan', 'seperti', 'ini']","['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z']","['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z']"
"Basuki: IKN buat Milenial-Gen Z, Bukan buat Saya dan Pak Jokowi",https://finance.detik.com/infrastruktur/d-7510920/basuki-ikn-buat-milenial-gen-z-bukan-buat-saya-dan-pak-jokowi,"basuki: ikn buat milenial-gen z, bukan buat saya dan pak jokowi","basuki: ikn buat milenial-gen z, bukan buat saya dan pak jokowi",basuki ikn buat milenialgen z bukan buat saya dan pak jokowi,basuki ikn buat milenialgen z bukan buat saya dan pak jokowi,basuki ikn buat milenialgen z bukan buat saya dan pak jokowi,"['basuki', 'ikn', 'buat', 'milenialgen', 'z', 'bukan', 'buat', 'saya', 'dan', 'pak', 'jokowi']","['basuki', 'ikn', 'buat', 'milenialgen', 'z', 'bukan', 'buat', 'saya', 'dan', 'pak', 'jokowi']","['basuki', 'ikn', 'milenialgen', 'z', 'jokowi']","['basuki', 'ikn', 'milenialgen', 'z', 'jokowi']"
Pengelola STP Ungkap Alasan Gen Z Tertarik Kerja di Perusahaan Teknologi,https://finance.detik.com/berita-ekonomi-bisnis/d-7457598/pengelola-stp-ungkap-alasan-gen-z-tertarik-kerja-di-perusahaan-teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,"['pengelola', 'stp', 'ungkap', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'di', 'perusahaan', 'teknologi']","['pengelola', 'stp', 'ungkap', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'di', 'perusahaan', 'teknologi']","['pengelola', 'stp', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'perusahaan', 'teknologi']","['pengelola', 'stp', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'perusahaan', 'teknologi']"
